id,amenity,transit
871f91a88ffffff,2000,835.6261572373652
871f91a99ffffff,2000,1174.4330883541622
871f91ad2ffffff,1876.6143747965496,955.7763144175211
871f91ae2ffffff,1996.740723914707,539.2568384544137
871f91a89ffffff,1999.6430926745452,727.493248533096
871f91af2ffffff,1965.2434721447173,1032.6149444021148
871f91a8bffffff,2000,729.1088819715712
871f91a73ffffff,2000,1427.7913062686011
871f91a72ffffff,2000,1569.6925708667652
871f91a9dffffff,2000,794.4082504700277
871f91ac3ffffff,1403.9618968134341,342.7807387476382
871f91a19ffffff,1989.7184533407521,1824.3450927734375
871f91ae6ffffff,1853.4454944428944,660.2830884660993
871f91aeeffffff,1973.6291484882306,918.6013005244267
871f91ac0ffffff,1969.6181241722013,542.894295694787
871f91ad6ffffff,1700.9369129652387,912.1711991556575
871f91ae8ffffff,1967.9108612060547,826.5069255828857
871f91a85ffffff,2000,1270.824178512008
871f91a81ffffff,2000,717.5278519281732
871f91ad1ffffff,921.8434886932373,701.3019315719605
871f91ad5ffffff,247.8436798394895,380.7195431578393
871f91ac2ffffff,508.70383750969637,251.9924756584438
871f91ac6ffffff,274.2111007305754,361.44448724313946
871f91af3ffffff,570.649869525852,436.8862714911226
871f91ae0ffffff,1610.1150202516649,617.503758664991
871f91af1ffffff,620.8468463676056,373.7420794052451
871f91aebffffff,2000,560.5387792294742
871f9cdb6ffffff,2000,1901.058614095052
871f91acdffffff,2000,964.5460423060825
871f91a8affffff,2000,876.4300104360111
871f91ad0ffffff,479.0814067699291,295.9367319625101
871f91aeaffffff,2000,405.0178632593867
871f91accffffff,2000,801.6969715840107
871f91af4ffffff,1118.5688673655193,703.0348526636759
871f91af0ffffff,701.4580843621792,417.00719498788845
871f91af6ffffff,400.56828739999355,346.50894921401454
871f91ad4ffffff,722.8230728674412,374.66066968877624
871f91325ffffff,1572.4787613803117,792.0593720289766
871f91ac8ffffff,1470.7664290208083,625.237183204064
871f91aceffffff,1836.3555482495733,505.07718690503543
871f91a8effffff,2000,1429.0478358268738
871f91aaaffffff,2000,1841.5090901692708
871f91a8cffffff,1767.4165100097657,1044.5296795654297
871f91aabffffff,1340.4875753591728,558.6216481526693
871f91a8dffffff,1695.7853841578706,1143.6517876158368
871f91adcffffff,1396.4073577375043,488.85108981474986
871f91ad3ffffff,1516.7255251275658,430.60708173350656
871f91ac1ffffff,1909.7046670568996,541.6881132930158
871f91ae4ffffff,2000,1491.3277163064427
871f91ae5ffffff,1122.3036167438213,526.4741254953237
